age,workclass,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,capital-balance,income
19,Private,CommunityCollege,NotMarried,Other-service,Own-child,White,1,20,United-States,0,0
46,Private,HighGrad,Separated,Transport-moving,Not-in-family,White,1,40,United-States,0,0
43,Private,HighGrad,Married,Sales,Husband,White,1,48,United-States,0,0
55,Private,CommunityCollege,Married,Exec-managerial,Husband,White,1,45,United-States,15024,1
46,Private,CommunityCollege,Married,Tech-support,Husband,White,1,40,United-States,0,0
30,Private,HighGrad,Married,Machine-op-inspct,Husband,White,1,40,Mexico,0,0
21,Private,CommunityCollege,Separated,Handlers-cleaners,Not-in-family,White,0,40,United-States,0,0
46,Private,CommunityCollege,Married,Craft-repair,Husband,Other,1,40,Outros,0,0
41,Private,HighGrad,Married,Machine-op-inspct,Husband,White,1,50,United-States,0,0
69,Self-emp-inc,HighGrad,Married,Sales,Husband,White,1,30,United-States,0,0
50,Private,HighGrad,Married,Transport-moving,Husband,White,1,40,United-States,0,0
20,Private,CommunityCollege,NotMarried,Adm-clerical,Not-in-family,White,0,40,United-States,0,0
45,Self-emp-inc,CommunityCollege,Married,Machine-op-inspct,Husband,White,1,50,United-States,0,0
23,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,White,1,40,United-States,0,0
24,Private,CommunityCollege,Separated,Other-service,Not-in-family,White,1,40,United-States,-1876,0
31,Self-emp-not-inc,CommunityCollege,Married,Craft-repair,Husband,White,1,50,United-States,0,0
43,Private,HighGrad,Separated,Machine-op-inspct,Not-in-family,White,0,44,United-States,0,0
20,Federal-gov,dropout,NotMarried,Other-service,Own-child,White,0,10,United-States,0,0
55,Private,HighGrad,Married,Sales,Husband,White,1,56,United-States,0,1
24,Federal-gov,CommunityCollege,NotMarried,Armed-Forces,Not-in-family,White,1,40,United-States,0,0
59,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,White,0,25,United-States,0,0
49,Federal-gov,dropout,NotMarried,Other-service,Not-in-family,Black,1,20,United-States,0,0
33,Private,Masters,Married,Prof-specialty,Wife,White,0,10,United-States,5178,1
59,Federal-gov,Bachelors,Separated,Adm-clerical,Not-in-family,White,1,40,United-States,0,0
34,Private,Masters,NotMarried,Other-service,Not-in-family,Amer-Indian-Eskimo,1,40,United-States,0,0
20,Private,HighGrad,NotMarried,Handlers-cleaners,Own-child,White,1,40,United-States,0,0
25,Private,Bachelors,NotMarried,Exec-managerial,Own-child,White,0,40,United-States,0,0
49,Private,dropout,Married,Farming-fishing,Husband,White,1,40,United-States,0,0
59,Private,HighGrad,Married,Transport-moving,Husband,White,1,40,United-States,0,1
20,Private,HighGrad,NotMarried,Adm-clerical,Not-in-family,White,0,40,United-States,0,0
33,Private,CommunityCollege,NotMarried,Adm-clerical,Unmarried,Black,0,35,United-States,0,0
22,Private,CommunityCollege,NotMarried,Transport-moving,Own-child,Black,1,39,United-States,0,0
58,Self-emp-not-inc,dropout,Widowed,Other-service,Not-in-family,White,0,40,United-States,0,0
52,Local-gov,HighGrad,Widowed,Adm-clerical,Unmarried,White,0,28,United-States,0,0
36,Private,dropout,Separated,Machine-op-inspct,Not-in-family,White,0,40,United-States,0,0
41,Local-gov,HighGrad,Married,Protective-serv,Husband,White,1,40,United-States,0,0
28,Private,HighGrad,NotMarried,Transport-moving,Own-child,White,1,40,United-States,2597,0
19,Private,CommunityCollege,NotMarried,Handlers-cleaners,Own-child,Black,1,16,United-States,0,0
18,Private,HighGrad,NotMarried,Other-service,Not-in-family,White,0,28,United-States,0,0
18,Private,HighGrad,NotMarried,Machine-op-inspct,Own-child,White,0,48,United-States,0,0
28,Private,CommunityCollege,Married,Craft-repair,Husband,White,1,40,United-States,0,0
29,Private,CommunityCollege,Married,Exec-managerial,Husband,White,1,40,United-States,0,1
40,Private,CommunityCollege,Married,Handlers-cleaners,Husband,White,1,40,United-States,0,0
26,Private,HighGrad,NotMarried,Handlers-cleaners,Unmarried,White,1,40,United-States,0,0
46,Private,HighGrad,Married,Craft-repair,Husband,White,1,40,United-States,0,0
23,Private,dropout,NotMarried,Other-service,Not-in-family,White,0,24,United-States,0,0
44,Private,HighGrad,NotMarried,Adm-clerical,Unmarried,White,0,40,United-States,0,0
43,Private,Bachelors,Separated,Sales,Unmarried,White,0,40,United-States,0,1
31,Local-gov,Bachelors,Separated,Prof-specialty,Unmarried,White,0,60,United-States,0,0
18,Private,CommunityCollege,NotMarried,Sales,Own-child,White,0,25,United-States,0,0
19,Private,CommunityCollege,NotMarried,Protective-serv,Own-child,White,1,30,United-States,0,0
41,Private,CommunityCollege,Separated,Tech-support,Not-in-family,White,0,40,United-States,0,0
41,Private,HighGrad,Separated,Handlers-cleaners,Unmarried,White,0,40,United-States,0,0
69,Private,HighGrad,Separated,Adm-clerical,Not-in-family,White,0,25,United-States,0,0
48,Federal-gov,Doctorate,Married,Prof-specialty,Wife,White,0,40,United-States,0,1
28,Private,HighGrad,NotMarried,Prof-specialty,Own-child,White,1,40,United-States,0,0
27,Self-emp-not-inc,HighGrad,Married,Craft-repair,Husband,White,1,60,Outros,0,1
41,Private,Masters,Married,Prof-specialty,Husband,White,1,50,United-States,-2415,1
41,Private,CommunityCollege,Married,Adm-clerical,Husband,White,1,40,United-States,0,0
24,Private,HighGrad,NotMarried,Craft-repair,Unmarried,Black,0,40,United-States,0,0
42,Self-emp-inc,Doctorate,Married,Prof-specialty,Husband,White,1,41,United-States,0,1
57,Private,HighGrad,Married,Craft-repair,Husband,Black,1,48,United-States,0,0
30,Private,CommunityCollege,NotMarried,Prof-specialty,Not-in-family,White,0,40,United-States,0,0
36,Private,HighGrad,Married,Sales,Husband,White,1,60,United-States,0,1
49,Private,dropout,Married,Machine-op-inspct,Husband,Black,1,40,United-States,0,0
33,Private,HighGrad,Married,Machine-op-inspct,Wife,White,0,35,United-States,0,0
23,Private,dropout,Married,Farming-fishing,Husband,White,1,40,United-States,0,0
46,Private,Masters,Married,Prof-specialty,Husband,White,1,40,United-States,0,0
18,Private,CommunityCollege,NotMarried,Adm-clerical,Own-child,Asian-Pac-Islander,0,22,Outros,0,0
40,Private,HighGrad,Married,Exec-managerial,Husband,White,1,55,United-States,7688,1
43,Self-emp-inc,HighGrad,Married,Exec-managerial,Husband,White,1,45,United-States,-1887,1
34,Private,Masters,NotMarried,Prof-specialty,Own-child,White,0,30,United-States,0,0
47,Self-emp-not-inc,HighGrad,Widowed,Exec-managerial,Not-in-family,White,0,30,United-States,0,0
44,Private,CommunityCollege,Widowed,Exec-managerial,Unmarried,White,0,30,United-States,0,0
33,Private,HighGrad,Married,Sales,Husband,White,1,40,United-States,0,1
55,Private,Bachelors,Married,Exec-managerial,Husband,White,1,50,United-States,15024,1
19,Private,HighGrad,NotMarried,Sales,Not-in-family,White,1,30,United-States,2907,0
28,Private,CommunityCollege,NotMarried,Other-service,Not-in-family,Black,1,14,United-States,0,0
27,Private,dropout,Married,Other-service,Wife,Black,0,32,United-States,0,0
50,Private,dropout,Married,Machine-op-inspct,Husband,White,1,20,United-States,0,0
22,Private,dropout,NotMarried,Craft-repair,Unmarried,White,1,40,United-States,0,0
40,State-gov,Bachelors,Married,Adm-clerical,Husband,White,1,45,United-States,-1887,1
25,Private,CommunityCollege,NotMarried,Adm-clerical,Own-child,White,0,40,United-States,0,0
26,Local-gov,HighGrad,NotMarried,Craft-repair,Not-in-family,White,1,40,United-States,0,0
22,Private,Bachelors,NotMarried,Sales,Not-in-family,White,1,25,United-States,0,0
42,Private,CommunityCollege,NotMarried,Handlers-cleaners,Unmarried,Black,0,40,United-States,-625,0
38,Self-emp-inc,Bachelors,Separated,Exec-managerial,Not-in-family,White,1,40,United-States,0,0
55,Private,dropout,Married,Other-service,Husband,White,1,30,United-States,0,0
32,Private,HighGrad,Married,Sales,Husband,White,1,40,United-States,0,0
22,Private,HighGrad,Married,Craft-repair,Husband,White,1,45,United-States,0,0
29,Private,Bachelors,NotMarried,Sales,Own-child,White,1,40,United-States,0,0
46,State-gov,Masters,Married,Exec-managerial,Husband,White,1,45,United-States,0,1
31,Private,CommunityCollege,Married,Exec-managerial,Husband,White,1,40,United-States,0,1
58,Self-emp-not-inc,Doctorate,Married,Prof-specialty,Husband,White,1,16,United-States,0,1
42,Private,HighGrad,Married,Craft-repair,Husband,White,1,45,United-States,0,0
18,Private,HighGrad,NotMarried,Handlers-cleaners,Unmarried,White,1,25,United-States,0,0
58,Local-gov,HighGrad,Separated,Exec-managerial,Not-in-family,White,1,33,United-States,0,0
54,Private,HighGrad,Married,Prof-specialty,Husband,White,1,40,United-States,-1887,1
34,Private,Masters,NotMarried,Prof-specialty,Not-in-family,White,1,40,United-States,0,0
26,Private,Bachelors,NotMarried,Adm-clerical,Not-in-family,White,0,40,United-States,0,0
61,Private,dropout,Married,Exec-managerial,Husband,White,1,60,United-States,0,0
48,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Black,0,40,United-States,0,0
36,Private,CommunityCollege,Married,Exec-managerial,Husband,White,1,45,United-States,0,1
24,Private,CommunityCollege,Married,Machine-op-inspct,Husband,White,1,45,United-States,0,0
40,Private,CommunityCollege,Married,Machine-op-inspct,Husband,White,1,37,United-States,0,0
33,Self-emp-inc,HighGrad,Married,Sales,Husband,White,1,50,United-States,0,1
37,Private,CommunityCollege,Married,Machine-op-inspct,Husband,White,1,40,United-States,-1887,1
34,Private,Masters,NotMarried,Exec-managerial,Own-child,White,1,40,United-States,4650,0
56,Self-emp-inc,CommunityCollege,Married,Exec-managerial,Husband,White,1,40,United-States,15024,1
37,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,0,55,United-States,0,0
44,Private,HighGrad,Separated,Sales,Unmarried,Black,0,40,United-States,0,0
54,Private,HighGrad,Separated,Handlers-cleaners,Not-in-family,White,1,45,United-States,0,0
23,Private,HighGrad,NotMarried,Machine-op-inspct,Not-in-family,White,1,50,United-States,0,0
22,Private,HighGrad,NotMarried,Other-service,Not-in-family,White,0,45,United-States,0,0
33,Private,Bachelors,Married,Exec-managerial,Husband,White,1,40,United-States,-1977,1
39,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,1,50,United-States,0,1
47,Private,CommunityCollege,Separated,Adm-clerical,Not-in-family,Black,0,37,United-States,0,0
26,Private,HighGrad,NotMarried,Prof-specialty,Unmarried,Black,0,55,United-States,0,0
31,Private,CommunityCollege,Separated,Exec-managerial,Unmarried,White,0,40,United-States,0,0
44,Private,CommunityCollege,NotMarried,Transport-moving,Not-in-family,White,1,45,United-States,0,0
42,Self-emp-inc,Masters,Married,Prof-specialty,Wife,White,0,50,United-States,0,1
19,Private,HighGrad,NotMarried,Machine-op-inspct,Not-in-family,White,0,40,United-States,0,0
27,Private,HighGrad,Married,Handlers-cleaners,Husband,White,1,40,United-States,0,1
51,Local-gov,CommunityCollege,Married,Protective-serv,Husband,White,1,40,United-States,0,1
28,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,1,50,United-States,0,0
57,Private,Bachelors,Separated,Craft-repair,Not-in-family,White,1,45,United-States,0,0
45,Local-gov,Bachelors,Separated,Prof-specialty,Unmarried,White,0,40,United-States,0,0
50,Private,CommunityCollege,Married,Prof-specialty,Husband,White,1,40,United-States,0,1
34,Self-emp-inc,Bachelors,Married,Sales,Husband,White,1,54,United-States,0,0
45,Private,dropout,Married,Craft-repair,Husband,Black,1,40,United-States,0,0
73,Local-gov,HighGrad,Married,Exec-managerial,Husband,White,1,20,United-States,0,0
34,Private,Bachelors,Married,Prof-specialty,Wife,White,0,50,United-States,0,1
31,Private,CommunityCollege,Married,Sales,Husband,White,1,55,United-States,0,1
19,Private,dropout,NotMarried,Sales,Not-in-family,White,1,12,United-States,0,0
25,Private,CommunityCollege,NotMarried,Other-service,Own-child,White,0,50,United-States,0,0
38,Federal-gov,CommunityCollege,Separated,Craft-repair,Unmarried,White,0,40,United-States,6497,0
39,Private,Bachelors,Married,Transport-moving,Husband,White,1,40,United-States,0,0
23,Private,Bachelors,NotMarried,Tech-support,Own-child,Black,0,32,United-States,0,0
49,Private,HighGrad,Married,Machine-op-inspct,Husband,White,1,40,United-States,0,0
33,Federal-gov,HighGrad,NotMarried,Other-service,Not-in-family,White,1,32,United-States,0,0
21,Private,dropout,NotMarried,Machine-op-inspct,Other-relative,White,1,38,Mexico,0,0
31,Private,CommunityCollege,Separated,Craft-repair,Not-in-family,White,1,40,United-States,0,0
23,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,White,0,45,United-States,0,0
34,Private,Bachelors,Married,Adm-clerical,Husband,Asian-Pac-Islander,1,40,Philippines,0,0
25,Private,HighGrad,NotMarried,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,0,40,Philippines,0,0
39,Private,HighGrad,NotMarried,Craft-repair,Unmarried,White,1,40,United-States,0,0
52,Self-emp-inc,HighGrad,Married,Sales,Husband,White,1,40,United-States,0,1
63,Local-gov,dropout,Married,Transport-moving,Husband,White,1,40,United-States,7688,1
41,Private,CommunityCollege,Married,Craft-repair,Husband,White,1,40,United-States,0,0
46,Private,Bachelors,Married,Prof-specialty,Husband,White,1,38,United-States,15024,1
53,Local-gov,HighGrad,Married,Exec-managerial,Husband,White,1,40,United-States,0,0
18,Private,dropout,NotMarried,Priv-house-serv,Own-child,White,1,40,United-States,0,0
38,Private,Masters,Married,Prof-specialty,Husband,White,1,50,United-States,0,0
55,Private,Masters,NotMarried,Exec-managerial,Unmarried,Asian-Pac-Islander,0,50,Outros,0,0
34,Private,HighGrad,Married,Tech-support,Husband,White,1,40,United-States,0,1
80,Self-emp-not-inc,HighGrad,Married,Other-service,Husband,White,1,30,United-States,0,0
34,Private,CommunityCollege,Separated,Tech-support,Unmarried,White,0,60,United-States,0,0
52,Private,CommunityCollege,Married,Tech-support,Husband,White,1,40,United-States,5013,0
42,Private,HighGrad,NotMarried,Other-service,Unmarried,Black,0,28,Outros,0,0
26,Private,CommunityCollege,NotMarried,Sales,Not-in-family,White,0,40,United-States,0,0
31,Private,HighGrad,Married,Transport-moving,Husband,White,1,40,United-States,0,0
25,Local-gov,HighGrad,NotMarried,Other-service,Own-child,White,0,35,United-States,0,0
55,Self-emp-not-inc,HighGrad,Married,Craft-repair,Husband,White,1,60,United-States,-2057,0
19,Private,CommunityCollege,NotMarried,Other-service,Own-child,White,0,12,United-States,0,0
62,Self-emp-not-inc,CommunityCollege,Married,Transport-moving,Husband,White,1,32,United-States,0,0
22,Federal-gov,CommunityCollege,NotMarried,Adm-clerical,Own-child,White,0,20,United-States,0,0
35,Private,HighGrad,Married,Handlers-cleaners,Husband,White,1,40,United-States,0,0
28,Private,HighGrad,Married,Sales,Own-child,White,0,40,United-States,0,0
47,Private,HighGrad,Married,Transport-moving,Husband,White,1,70,United-States,0,1
44,State-gov,HighGrad,Married,Machine-op-inspct,Husband,White,1,40,United-States,0,0
21,Private,CommunityCollege,NotMarried,Sales,Own-child,White,1,15,United-States,0,0
35,Private,CommunityCollege,NotMarried,Craft-repair,Not-in-family,White,1,50,United-States,0,0
24,Private,Bachelors,Married,Prof-specialty,Husband,White,1,40,United-States,0,1
28,Private,Bachelors,NotMarried,Tech-support,Own-child,White,1,50,United-States,0,0
21,Private,CommunityCollege,NotMarried,Machine-op-inspct,Other-relative,White,1,35,United-States,0,0
62,Federal-gov,CommunityCollege,Separated,Tech-support,Not-in-family,Black,1,40,United-States,4650,0
39,Private,HighGrad,NotMarried,Other-service,Not-in-family,Black,0,40,United-States,0,0
30,State-gov,HighGrad,NotMarried,Other-service,Not-in-family,White,1,40,United-States,0,0
72,Self-emp-not-inc,Masters,NotMarried,Prof-specialty,Not-in-family,White,1,20,United-States,-1429,0
50,Private,CommunityCollege,Married,Exec-managerial,Wife,White,0,50,United-States,0,0
28,Local-gov,Masters,NotMarried,Prof-specialty,Not-in-family,White,1,40,United-States,0,0
29,Private,CommunityCollege,NotMarried,Prof-specialty,Not-in-family,White,0,40,United-States,0,0
26,Private,Bachelors,NotMarried,Adm-clerical,Own-child,White,0,40,United-States,0,0
27,Private,Masters,NotMarried,Exec-managerial,Not-in-family,White,0,40,United-States,0,0
29,Private,CommunityCollege,Married,Handlers-cleaners,Husband,White,1,40,United-States,3103,1
29,Private,dropout,Married,Craft-repair,Husband,White,1,25,United-States,0,0
31,Private,dropout,Married,Sales,Wife,White,0,20,United-States,0,0
25,Private,HighGrad,Married,Exec-managerial,Husband,White,1,75,United-States,0,0
58,Private,dropout,Married,Transport-moving,Husband,White,1,40,United-States,0,1
64,Private,CommunityCollege,Married,Exec-managerial,Wife,White,0,40,United-States,0,1
46,State-gov,Masters,NotMarried,Exec-managerial,Not-in-family,White,1,38,United-States,0,0
19,Private,HighGrad,NotMarried,Other-service,Own-child,Amer-Indian-Eskimo,0,35,United-States,0,0
42,Private,HighGrad,Separated,Other-service,Not-in-family,Black,1,52,United-States,0,0
18,Private,dropout,NotMarried,Handlers-cleaners,Own-child,White,1,24,United-States,0,0
58,Self-emp-inc,Bachelors,Married,Craft-repair,Husband,White,1,50,United-States,15024,1
20,Private,CommunityCollege,NotMarried,Protective-serv,Not-in-family,Black,1,60,United-States,0,0
35,Federal-gov,HighGrad,Married,Craft-repair,Husband,White,1,40,United-States,0,1
32,Private,HighGrad,Married,Handlers-cleaners,Husband,White,1,38,United-States,0,1
23,Private,HighGrad,NotMarried,Handlers-cleaners,Not-in-family,White,0,25,United-States,0,0
31,Private,CommunityCollege,Separated,Tech-support,Unmarried,White,0,40,United-States,0,0
33,Private,Bachelors,Married,Sales,Husband,Black,1,55,United-States,0,0
41,Private,CommunityCollege,NotMarried,Machine-op-inspct,Not-in-family,White,0,48,United-States,0,0
22,Private,HighGrad,NotMarried,Machine-op-inspct,Own-child,Black,1,40,United-States,0,0
46,Private,CommunityCollege,Married,Protective-serv,Husband,White,1,40,United-States,0,1
61,Federal-gov,CommunityCollege,Married,Transport-moving,Husband,Black,1,40,United-States,0,0
30,Private,HighGrad,NotMarried,Exec-managerial,Not-in-family,Black,1,40,United-States,0,0
42,Private,HighGrad,Married,Exec-managerial,Husband,White,1,55,United-States,0,1
63,Private,dropout,Married,Handlers-cleaners,Husband,White,1,40,United-States,0,0
26,Private,CommunityCollege,Married,Sales,Husband,White,1,40,United-States,0,0
42,Private,dropout,Separated,Adm-clerical,Unmarried,White,0,40,United-States,0,0
23,Private,CommunityCollege,Married,Other-service,Husband,White,1,40,United-States,0,0
25,Private,HighGrad,NotMarried,Machine-op-inspct,Unmarried,White,1,40,United-States,-1590,0
30,Private,dropout,Married,Other-service,Husband,White,1,32,Outros,0,1
23,Private,HighGrad,NotMarried,Sales,Own-child,White,1,40,United-States,0,0
34,Self-emp-not-inc,CommunityCollege,NotMarried,Farming-fishing,Not-in-family,White,1,60,United-States,27828,1
30,Private,HighGrad,Married,Machine-op-inspct,Other-relative,White,1,48,United-States,-2057,0
39,Private,CommunityCollege,Married,Craft-repair,Husband,White,1,40,United-States,0,1
30,Private,dropout,NotMarried,Handlers-cleaners,Other-relative,White,1,38,Outros,-1721,0
38,Local-gov,CommunityCollege,Separated,Adm-clerical,Unmarried,White,0,38,United-States,0,0
26,Private,HighGrad,Separated,Exec-managerial,Own-child,White,0,40,United-States,0,0
20,Private,CommunityCollege,NotMarried,Handlers-cleaners,Own-child,White,1,16,United-States,0,0
33,Private,HighGrad,Married,Adm-clerical,Own-child,White,0,40,United-States,0,0
24,Private,Bachelors,NotMarried,Adm-clerical,Own-child,White,1,40,United-States,0,0
42,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,1,60,United-States,0,1
51,Self-emp-not-inc,HighGrad,Married,Sales,Husband,Asian-Pac-Islander,1,84,Outros,3103,0
56,Local-gov,CommunityCollege,Married,Tech-support,Husband,White,1,45,United-States,0,1
22,Private,CommunityCollege,NotMarried,Handlers-cleaners,Own-child,White,1,40,United-States,0,0
52,Self-emp-not-inc,CommunityCollege,Married,Farming-fishing,Husband,White,1,60,United-States,0,0
44,Private,Bachelors,Separated,Exec-managerial,Unmarried,White,0,45,United-States,4934,1
34,Private,HighGrad,Married,Adm-clerical,Wife,White,0,35,United-States,4064,0
51,Private,CommunityCollege,Separated,Craft-repair,Not-in-family,White,1,42,United-States,0,1
19,Private,CommunityCollege,NotMarried,Sales,Not-in-family,White,0,25,United-States,0,0
37,Private,Bachelors,Married,Exec-managerial,Husband,White,1,40,United-States,0,1
68,Private,HighGrad,Married,Machine-op-inspct,Husband,Black,1,40,United-States,0,1
22,Private,CommunityCollege,Separated,Protective-serv,Not-in-family,White,1,40,United-States,0,0
56,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,1,40,United-States,0,0
37,Private,HighGrad,Married,Craft-repair,Husband,White,1,40,United-States,0,0
52,Private,dropout,Married,Machine-op-inspct,Husband,White,1,40,Mexico,0,0
26,Private,HighGrad,Separated,Handlers-cleaners,Own-child,White,1,40,Outros,0,0
33,Private,Masters,Married,Prof-specialty,Husband,White,1,50,United-States,0,0
45,Local-gov,Masters,Separated,Prof-specialty,Unmarried,White,0,42,United-States,0,0
18,Private,dropout,NotMarried,Other-service,Own-child,White,1,15,United-States,0,0
43,Self-emp-not-inc,CommunityCollege,Married,Farming-fishing,Husband,White,1,60,United-States,0,1
18,Private,HighGrad,NotMarried,Handlers-cleaners,Own-child,White,1,20,United-States,0,0
57,Private,HighGrad,Married,Craft-repair,Husband,White,1,40,United-States,0,1
41,Private,HighGrad,Separated,Adm-clerical,Unmarried,White,0,42,United-States,3674,0
34,Private,Masters,Married,Exec-managerial,Husband,White,1,50,United-States,-1887,1
19,Private,HighGrad,NotMarried,Sales,Unmarried,White,0,40,United-States,0,0
44,Private,dropout,Separated,Other-service,Unmarried,White,0,55,Outros,0,0
56,Private,dropout,Widowed,Other-service,Unmarried,White,0,40,United-States,0,0
36,Self-emp-inc,HighGrad,Married,Farming-fishing,Husband,White,1,80,United-States,0,0
48,Private,Bachelors,Separated,Exec-managerial,Unmarried,White,0,48,United-States,0,0
29,Private,HighGrad,Married,Transport-moving,Husband,White,1,40,United-States,0,1
33,Private,Bachelors,NotMarried,Craft-repair,Not-in-family,White,1,40,United-States,2174,0
31,Private,dropout,Married,Other-service,Husband,White,1,40,Mexico,0,0
39,Private,Masters,Married,Prof-specialty,Husband,White,1,45,United-States,0,1
66,Private,HighGrad,Married,Exec-managerial,Husband,White,1,40,United-States,10605,1
27,Private,Bachelors,NotMarried,Prof-specialty,Not-in-family,White,0,50,United-States,0,1
